Timestamp,Account,Action,Status,Details,Post_URL,Duration_Seconds
2025-07-20 18:57:34,61576358376346,BROWSER,ERROR,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-20 18:58:11,61576358376346,BROWSER,ERROR,name 'enhanced_login_to_facebook' is not defined,,
2025-07-20 19:14:58,61571921690396,LOGIN,FAILED,Login failed in 9.13s,,9.131264
2025-07-20 19:15:26,61571930150364,LOGIN,FAILED,Login failed in 16.30s,,16.303284
2025-07-20 19:16:04,61571930150364,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,17.994852
2025-07-20 19:17:38,61571930150364,LOGIN,FAILED,Login failed in 15.85s,,15.851767
2025-07-20 19:22:26,61571930150364,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,19.546103
2025-07-20 20:14:33,61577020666273,BROWSER,ERROR,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:29:46,61572672822009,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:29:59,61576346943808,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:37:06,61577338290413,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:41:44,61577201647530,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:41:53,61576996967368,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:42:02,61577613232790,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:44:31,61577056694201,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:48:12,61577313481512,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,2.221243
2025-07-28 21:48:21,61577313481512,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,1.905933
2025-07-28 21:48:25,61577313481512,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,1.902893
2025-07-28 21:48:30,61577313481512,BROWSER,ERROR,Browser error: 'SessionState' object has no attribute 'mark_login_failed',,1.902718
2025-07-28 21:49:20,61577313481512,LOGIN,FAILED,Login failed in 28.17s,,28.171729
2025-07-28 21:51:08,61572672822009,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 21:53:52,61576996967368,BROWSER,ERROR,'SessionState' object has no attribute 'mark_login_failed',,
2025-07-28 21:53:59,61577613232790,BROWSER,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.facebook.com/
Call log:
  - navigating to ""https://www.facebook.com/"", waiting until ""load""
",,
2025-07-28 22:09:33,61577313481513,LOGIN,FAILED,Login failed in 15.60s,,15.601485
2025-07-28 23:45:47,61577313481513,LOGIN,FAILED,Login failed in 26.17s,,26.172151
2025-07-28 23:46:25,61577350139786,SESSION_RECOVERY,FAILED,Exhausted 2 re-login attempts,,
2025-07-28 23:46:25,61577350139786,SESSION_RECOVERY,FAILED,Could not restore session after 37.04s,https://www.facebook.com/share/p/16cENU74UN/,37.038104
2025-07-28 23:46:58,61577051802895,POST_INTERACTION,SUCCESS,Completed in 24.26s,https://www.facebook.com/share/p/16cENU74UN/,24.259611
2025-07-28 23:47:33,61577368346857,POST_INTERACTION,SUCCESS,Completed in 25.86s,https://www.facebook.com/share/p/16cENU74UN/,25.856075
2025-07-28 23:48:54,61577313481513,LOGIN,FAILED,Login failed in 14.68s,,14.682828
2025-07-28 23:51:24,61571926700760,LOGIN,SUCCESS,Login successful in 10.60s,,10.595509
2025-07-28 23:56:59,61571828155366,LOGIN,SUCCESS,Login successful in 8.27s,,8.26727
2025-07-28 23:57:43,61577313481512,LOGIN,FAILED,Login failed in 40.66s,,40.656139
2025-07-28 23:58:00,61577313481513,LOGIN,FAILED,Login failed in 14.27s,,14.273501
2025-07-28 23:58:33,61571926700760,POST_INTERACTION,FAILED,Interaction failed after 29.45s,https://www.facebook.com/share/p/16cENU74UN/,29.446978
2025-07-28 23:59:05,61571828155366,POST_INTERACTION,FAILED,Interaction failed after 22.74s,https://www.facebook.com/share/p/16cENU74UN/,22.739412
